datetime,facility_name,consumption_kwh
2024-04-01 00:00:00,市民会館,0.761
2024-04-01 00:30:00,市民会館,0.711
2024-04-01 01:00:00,市民会館,0.778
2024-04-01 01:30:00,市民会館,0.785
2024-04-01 02:00:00,市民会館,0.677
2024-04-01 02:30:00,市民会館,0.701
2024-04-01 03:00:00,市民会館,0.755
2024-04-01 03:30:00,市民会館,0.738
2024-04-01 04:00:00,市民会館,0.749
2024-04-01 04:30:00,市民会館,0.718
2024-04-01 05:00:00,市民会館,2.476
2024-04-01 05:30:00,市民会館,2.464
2024-04-01 06:00:00,市民会館,8.31
2024-04-01 06:30:00,市民会館,8.749
2024-04-01 07:00:00,市民会館,17.966
2024-04-01 07:30:00,市民会館,16.802
2024-04-01 08:00:00,市民会館,23.085
2024-04-01 08:30:00,市民会館,21.58
2024-04-01 09:00:00,市民会館,18.981
2024-04-01 09:30:00,市民会館,18.137
2024-04-01 10:00:00,市民会館,10.212
2024-04-01 10:30:00,市民会館,9.956
2024-04-01 11:00:00,市民会館,7.684
2024-04-01 11:30:00,市民会館,7.185
2024-04-01 12:00:00,市民会館,9.306
2024-04-01 12:30:00,市民会館,9.343
2024-04-01 13:00:00,市民会館,13.634
2024-04-01 13:30:00,市民会館,13.524
2024-04-01 14:00:00,市民会館,15.312
2024-04-01 14:30:00,市民会館,15.326
2024-04-01 15:00:00,市民会館,14.655
2024-04-01 15:30:00,市民会館,12.969
2024-04-01 16:00:00,市民会館,8.865
2024-04-01 16:30:00,市民会館,8.728
2024-04-01 17:00:00,市民会館,5.02
2024-04-01 17:30:00,市民会館,5.145
2024-04-01 18:00:00,市民会館,2.018
2024-04-01 18:30:00,市民会館,1.945
2024-04-01 19:00:00,市民会館,0.719
2024-04-01 19:30:00,市民会館,0.774
2024-04-01 20:00:00,市民会館,0.778
2024-04-01 20:30:00,市民会館,0.77
2024-04-01 21:00:00,市民会館,0.725
2024-04-01 21:30:00,市民会館,0.759
2024-04-01 22:00:00,市民会館,0.754
2024-04-01 22:30:00,市民会館,0.758
2024-04-01 23:00:00,市民会館,0.783
2024-04-01 23:30:00,市民会館,0.758
2024-04-02 00:00:00,市民会館,0.775
2024-04-02 00:30:00,市民会館,0.753
2024-04-02 01:00:00,市民会館,0.761
2024-04-02 01:30:00,市民会館,0.774
2024-04-02 02:00:00,市民会館,0.695
2024-04-02 02:30:00,市民会館,0.738
2024-04-02 03:00:00,市民会館,0.732
2024-04-02 03:30:00,市民会館,0.726
2024-04-02 04:00:00,市民会館,0.74
2024-04-02 04:30:00,市民会館,0.806
2024-04-02 05:00:00,市民会館,2.269
2024-04-02 05:30:00,市民会館,2.487
2024-04-02 06:00:00,市民会館,7.585
2024-04-02 06:30:00,市民会館,8.144
2024-04-02 07:00:00,市民会館,17.699
2024-04-02 07:30:00,市民会館,18.07
2024-04-02 08:00:00,市民会館,23.473
